Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
524,Monte Rio Union Elementary School District,36.25,20427,57676
525,Weaver Union School District,36.28,11997,51442
526,Somis Union Elementary School District,36.29,11989,102560
527,Ceres Unified School District,36.3,11492,54117
528,San Bernardino City Unified School District,36.33,13451,43683
529,Caliente Union Elementary School District,36.35,14900,35962
530,Eureka Union Elementary School District,36.36,10325,111454
531,Lynwood Unified School District,36.42,12352,49461
532,Big Oak Flat-Groveland Unified School District,36.63,19742,61581
533,Firebaugh-Las Deltas Unified School District,36.69,13865,41225
534,Fowler Unified School District,36.77,12174,50156
535,Bear Valley Unified School District,36.8,12137,50336
536,Lemoore Union Elementary School District,36.94,10583,58494
537,Trinity Alps Unified School District,37.04,13449,43191
538,Hawthorne Elementary School District,37.16,12663,47285
539,Fall River Joint Unified School District,37.24,12863,46162
540,Delano Union Elementary School District,37.28,13610,42169
541,Trinidad Union Elementary School District,37.32,10995,56042
542,Weed Union Elementary School District,37.35,14206,38947
543,Los Molinos Unified School District,37.35,13187,44362
544,Tahoe Truckee Unified School District,37.44,16401,79915
545,Capay Joint Union Elementary School District,37.5,10764,57143
546,Northern Humboldt Union High School District,37.78,12968,45226
547,Brawley Union High School District,37.96,13395,42829
548,Middletown Unified School District,38.03,10557,57870
549,Scotts Valley Unified School District,38.04,10590,111225
550,Redondo Beach Unified School District,38.46,10449,112271
551,Red Bluff Union High School District,38.47,13317,42886
552,Enterprise Elementary School District,38.48,12253,48532
553,Del Norte County Unified School District,38.53,12863,45258
554,Burton Elementary School District,38.55,10796,56231
555,Upper Lake Unified School District,38.64,13332,42688
556,Eastside Union Elementary School District,38.7,12285,48212
557,Blue Lake Elementary School District,38.74,12292,48147
558,Mariposa County Unified School District,38.77,11762,50944
559,Millbrae Elementary School District,38.84,10430,112640
560,San Rafael High School District,38.87,14012,93618
561,Ukiah Unified School District,38.94,11665,51334
562,Los Banos Unified School District,39.09,11536,51919
563,Guadalupe Joint Elementary School District,39.15,12762,45361
564,Turlock Unified School District,39.24,11075,54264
565,Corning Union High School District,39.52,13199,42774
566,Banning Unified School District,39.69,13372,41737
567,San Gabriel Unified School District,39.79,9086,64446
568,Redding Elementary School District,40.01,12057,48503
569,Bakersfield Elementary School District,40.08,13609,40201
570,Julian Union Elementary School District,40.22,10917,54412
571,National Elementary School District,40.32,12690,44916
572,Saugus Union School District,40.34,10635,112604
573,Redwood City Elementary School District,40.39,12031,105221
574,Castro Valley Unified School District,40.4,10854,111481
575,Pioneer Union School District,40.43,11293,52263
576,Central Union High School District,40.5,12429,46177
